age,gender,department,job_level,marital_status,monthly_income,years_at_company,overtime,performance_rating,distance_from_home_km,training_hours_last_year,Attrition
31,F,Engineering,1,Single,5163.0,14,No,3,24.1,141.0,0
29,M,Sales,2,Divorced,13878.0,1,No,3,4.6,141.0,0
26,F,Support,1,Married,4712.0,6,No,3,8.4,148.0,0
61,F,Engineering,2,Single,12196.0,12,Yes,4,2.2,98.0,0
59,F,Sales,5,Single,15823.0,18,No,4,7.199999999999999,10.0,0
57,F,Finance,1,Divorced,4933.0,18,No,3,8.4,124.0,0
23,M,Engineering,1,Married,4612.0,7,No,2,7.9,15.0,0
41,F,Finance,3,Single,5881.0,32,No,2,6.4,105.0,0
55,F,HR,1,Married,4688.0,22,Yes,1,7.300000000000001,113.0,0
24,F,Finance,3,Single,1985.0,14,Yes,4,6.199999999999999,93.0,0
53,F,Engineering,3,Married,8115.0,18,No,3,5.2,84.0,0
49,M,Sales,2,Married,6319.0,8,Yes,3,7.9,10.0,0
62,M,Engineering,1,Married,12968.0,28,No,3,9.0,92.0,0
24,F,Engineering,3,Single,2272.0,20,No,2,11.7,107.0,1
46,M,Engineering,3,Single,4426.0,34,No,3,21.2,114.0,0
56,M,Engineering,3,Divorced,5571.0,35,Yes,1,6.0,105.0,0
58,M,Support,3,Married,6478.0,33,Yes,2,11.1,48.0,0
45,M,Sales,3,Married,10212.0,33,No,2,1.2000000000000002,169.0,0
34,M,Engineering,3,Married,4486.0,40,No,2,1.1,26.0,0
36,M,Finance,2,Married,9532.0,22,Yes,3,22.4,96.0,0
49,F,Support,2,Married,2758.0,29,Yes,3,12.8,14.0,1
43,F,Engineering,1,Married,4232.0,12,No,3,15.2,47.0,0
56,M,Sales,2,Single,3195.0,31,No,3,1.7000000000000002,34.0,0
63,M,Engineering,1,Single,3219.0,21,No,4,9.1,71.0,0
19,M,Support,4,Single,8807.0,15,No,3,8.4,113.0,0
49,F,Support,2,Married,8927.0,11,No,3,4.9,166.0,0
61,F,Engineering,2,Married,6329.0,4,No,3,3.3,39.0,0
21,M,Sales,1,Single,5025.0,6,Yes,3,13.9,46.0,1
58,M,Engineering,1,Married,7541.0,7,No,2,1.4,26.0,0
22,M,Support,2,Single,7674.0,11,No,3,1.1,49.0,0
33,F,Engineering,3,Single,7844.0,27,No,4,3.8,158.0,0
25,F,Engineering,3,Single,7196.0,10,No,3,4.0,124.0,0
52,F,Engineering,2,Single,13337.0,15,No,3,11.5,3.0,1
22,F,Support,3,Married,4844.0,36,Yes,2,10.3,159.0,1
58,M,HR,2,Divorced,6330.0,12,No,3,7.7,42.0,1
18,M,HR,2,Married,6996.0,10,No,4,0.1,135.0,0
30,M,Support,2,Married,5878.0,27,No,2,3.3,26.0,0
35,M,Engineering,1,Married,7720.0,36,Yes,3,15.5,44.0,1
19,M,Engineering,2,Single,6138.0,20,No,2,7.800000000000001,17.0,0
37,M,HR,2,Single,6805.0,10,No,3,0.1,120.0,0
47,M,Sales,2,Married,9175.0,12,No,3,2.9000000000000004,145.0,0
27,F,Engineering,1,Married,18092.0,6,Yes,3,14.5,122.0,0
53,M,Sales,2,Single,4288.0,40,No,2,5.1,90.0,0
53,F,Sales,2,Married,5151.0,25,No,3,12.9,138.0,1
21,F,Engineering,3,Single,8856.0,19,Yes,4,1.9,9.0,0
44,M,Finance,1,Single,4448.0,9,No,2,6.9,166.0,0
18,M,Support,1,Married,12462.0,7,No,3,19.0,155.0,0
50,M,Sales,3,Single,3461.0,2,No,1,0.3999999999999999,181.0,0
64,M,Support,1,Single,4515.0,0,Yes,3,-0.1999999999999999,36.0,0
42,M,Engineering,3,Single,11665.0,12,Yes,2,0.7999999999999998,167.0,0
18,F,Finance,1,Single,6356.0,9,No,2,4.1,130.0,0
47,F,Engineering,5,Single,6220.0,10,No,4,3.4000000000000004,74.0,0
44,F,Finance,3,Single,2924.0,21,No,3,1.5,88.0,0
24,F,Engineering,1,Married,5118.0,17,No,3,8.5,193.0,0
34,F,Support,1,Single,8802.0,35,No,4,22.8,5.0,0
52,M,Support,1,Married,9526.0,40,Yes,4,18.5,0.0,1
64,M,Finance,1,Single,4297.0,14,No,4,-0.7,175.0,0
21,F,HR,1,Married,4385.0,15,No,1,15.7,129.0,0
45,F,Finance,2,Single,11388.0,13,No,3,10.8,112.0,0
23,M,Finance,1,Single,5232.0,18,No,3,4.9,135.0,0
32,F,Finance,1,Married,10576.0,35,No,3,12.1,197.0,0
29,F,Engineering,1,Married,12479.0,7,No,4,2.4000000000000004,190.0,0
30,F,Engineering,1,Single,22181.0,31,Yes,4,6.1,118.0,0
40,M,Engineering,1,Married,11154.0,25,No,2,3.6,80.0,0
27,M,Finance,2,Single,9199.0,38,Yes,4,11.3,76.0,0
48,M,Sales,1,Married,8330.0,13,No,3,6.800000000000001,46.0,0
52,F,Sales,1,Married,2772.0,31,Yes,4,7.4,11.0,0
48,F,Support,1,Single,9779.0,10,No,3,2.3,128.0,0
40,F,Sales,1,Married,11594.0,9,No,3,8.4,146.0,0
30,M,Support,2,Single,5049.0,12,Yes,3,7.800000000000001,69.0,0
21,F,Support,1,Married,10906.0,38,No,3,3.9,123.0,0
35,M,Sales,3,Single,7905.0,34,No,2,10.9,171.0,0
54,F,Sales,2,Married,6386.0,31,No,3,0.0,132.0,0
31,F,Finance,1,Single,3563.0,30,No,3,49.1,80.0,0
58,F,Engineering,1,Single,4814.0,40,No,3,7.6,107.0,0
18,F,Engineering,3,Single,5921.0,36,Yes,1,14.5,52.0,0
58,F,Support,2,Married,6807.0,8,Yes,3,17.7,96.0,0
22,F,Engineering,1,Married,4956.0,1,No,3,9.6,62.0,0
32,M,Finance,4,Single,5147.0,20,No,3,14.1,198.0,0
64,F,Support,3,Married,5457.0,18,Yes,3,4.7,141.0,0
33,F,Sales,1,Married,2177.0,26,Yes,1,6.800000000000001,28.0,0
22,F,Support,4,Single,2978.0,18,Yes,3,18.4,102.0,1
50,F,Support,3,Married,5135.0,8,No,3,15.7,67.0,0
64,F,Support,1,Single,10264.0,4,No,1,21.3,74.0,1
50,M,Engineering,4,Single,8539.0,24,No,3,14.2,13.0,0
53,F,Sales,2,Married,13850.0,35,No,2,24.4,171.0,0
58,F,Sales,1,Married,14800.0,26,No,2,11.5,10.0,0
18,M,Sales,2,Single,7793.0,39,No,4,3.6,15.0,0
30,F,Sales,1,Single,6867.0,6,No,3,-0.8,3.0,0
54,F,Engineering,1,Married,7849.0,20,No,3,34.9,109.0,0
49,M,Engineering,3,Divorced,3615.0,37,No,4,21.7,195.0,0
